Wall time,Step,Value
1567144118.08513,304,2.7008347511291504
1567144118.351674,688,3.263054847717285
1567144118.3892338,736,3.085031270980835
1567144118.545286,912,2.889425039291382
1567144118.72251,1152,2.452016830444336
1567144118.964907,1520,3.1910977363586426
1567144119.670829,2496,2.5766310691833496
1567144119.709909,2544,2.5114808082580566
1567144119.817486,2688,2.319397211074829
1567144120.5419478,3680,2.323737144470215
1567144120.599018,3760,2.566279888153076
1567144120.8436081,4096,2.436674118041992
1567144120.977677,4288,2.734623432159424
1567144121.044812,4384,2.64799165725708
1567144121.425652,4944,2.248931884765625
1567144121.444921,4976,2.3862252235412598
1567144121.537235,5104,2.491464138031006
1567144121.8735192,5568,2.3431906700134277
1567144122.097962,5888,2.8437697887420654
1567144131.796724,6734,2.498094081878662
1567144132.010827,7070,2.2548303604125977
1567144132.212847,7358,2.5091748237609863
1567144132.360559,7582,1.8682668209075928
1567144133.0486112,8574,2.0502676963806152
1567144133.338186,9006,2.621150493621826
1567144133.510647,9262,2.0972564220428467
1567144133.589889,9374,2.990103244781494
1567144133.601392,9390,2.033073663711548
1567144133.9768078,9918,2.2414610385894775
1567144134.133118,10142,2.1514744758605957
1567144134.26657,10350,2.306274890899658
1567144134.41374,10574,2.3447909355163574
1567144134.5421271,10734,2.412069320678711
1567144135.0351841,11422,2.1078596115112305
1567144135.126786,11550,2.0745251178741455
1567144135.20802,11678,2.1726880073547363
1567144136.037765,12220,3.3105411529541016
1567144136.0960698,12284,2.257896900177002
1567144136.124049,12316,2.6650233268737793
1567144136.300684,12540,2.5625481605529785
1567144136.3258991,12572,2.6084060668945312
1567144136.411256,12684,2.211054563522339
1567144136.528519,12812,2.101292133331299
1567144136.594917,12908,2.510690689086914
1567144136.9096699,13356,2.5174036026000977
1567144138.1552,15100,2.566232204437256
1567144138.345581,15372,2.3500232696533203
1567144138.444128,15516,2.2747063636779785
1567144138.455895,15532,2.027517318725586
1567144138.5291579,15628,2.1749932765960693
1567144138.600225,15724,2.4442379474639893
1567144138.803108,16012,2.103471279144287
1567144138.8383849,16060,2.0079970359802246
1567144138.940831,16204,2.6675004959106445
1567144139.4989939,16988,1.832294225692749
1567144139.5319948,17036,2.9673309326171875
1567144139.599183,17132,2.008791208267212
1567144139.670885,17228,2.511068820953369
1567144139.855977,17468,2.223987579345703
1567144139.923358,17564,2.7326602935791016
1567144139.979434,17644,1.99546480178833
1567144141.03359,18458,2.2197299003601074
1567144141.097939,18538,2.8237814903259277
1567144141.1097999,18554,2.461214065551758
1567144141.3042078,18842,2.4596126079559326
1567144141.446917,19050,2.219280242919922
1567144142.008945,19866,2.7779428958892822
1567144142.1971998,20138,2.3635082244873047
1567144142.848371,21018,2.3497071266174316
1567144142.884037,21066,2.531158447265625
1567144143.044099,21290,1.9866185188293457
1567144143.097688,21354,2.0400075912475586
1567144143.643191,22122,2.523853302001953
1567144143.722492,22234,1.932690143585205
1567144143.9877918,22586,2.009622573852539
1567144144.1188962,22778,2.37361741065979
